user_input,bot_response,ability,extra_label
Sign me up for Monday and Wednesday .,"Okay , I'll sign you up .",conversation,neutral
"Dad , why are you taping the windows ?","Honey , a typhoon is coming .",conversation,neutral
"Really ? Wow , I don't have to go to school tomorrow .","Jenny , come and help , we need to prepare more food .",conversation,neutral
"Hi , my name is Lean , and I'm from Russia .","Nice to meet you , Lean . My name is Alike . I'm from Japan .",conversation,neutral
To me English is a difficult language .,A second language is always difficult .,conversation,neutral
"True , but English is harder than most . It's a crazy language .",A crazy language ? Why do you say that ?,conversation,surprise
One letter can have several pronunciations and one word can have several meanings .,No wonder you say English is a crazy language .,conversation,neutral
Can I help you ?,"I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look .",conversation,neutral
I'll certainly try to help you . What topic is your paper on ?,My paper is on the influence of television on children .,conversation,neutral
There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television .,Thank you for you help .,conversation,happiness
Here ’ s your hot dog and beer . What happened ? Did I miss anything ?,"Yeah , Cal Ripen just hit a home run .",conversation,neutral
What ’ s the score ?,"Well it was 3 to 4 , but Ripen ’ s home run made it 5 to 4 since another player was on first base .",conversation,neutral
So Baltimore is winning ?,Right .,conversation,happiness
This is a really great place to watch a baseball game .,"Yeah , there isn ’ t a bad seat in the place .",conversation,happiness
"The fans are great here , too . Not like in Philadelphia .",It was a great idea to spend a day watching a game .,conversation,happiness
How do you like the pizza here ?,Perfect . It really hits the spot .,conversation,happiness
Do you have a light ?,"Sorry , I don't smoke .",conversation,neutral
I was scared stiff of giving my first performance .,Were you ? your performance was excellent .,conversation,happiness
Excuse me . Could you please take a picture of us with this camera ?,Sure . Which button do I press to shoot ?,conversation,happiness
This one .,Do I have to focus it ?,conversation,neutral
"No , this is a focus-free camera . All you have to do is point and press the button .",All right . Say cheese !,conversation,happiness
Every country should face the history .,"Yeah , we don ’ t live in the vacuum . We have traditional values and long but different history .",conversation,neutral
"Sometimes , we , human beings , really had done something wrong , so we should admit it at first .",But there is always somebody who wants to turn his back on the true history .,conversation,neutral
"Do you like traveling , Kathy ?","I like traveling for pleasure to get places for vacation for instance . But I don ’ t like traveling to work , waiting for buses , or ...",conversation,neutral
Or getting stuck in traffic jams when you ’ re driving .,Exactly .,conversation,neutral
Your house is too small . Why not buy a big one .,I do wish I could afford one .,conversation,neutral
You can get a loan from the bank . You know LPF program provides low cost loans for participants home purchases .,Of course I know that . But don't you notice that the house price is skyrocketing ?,conversation,neutral
"How do you do , Prof.Smith .","How do you do , Ms . Yang.You speak very good English .",conversation,happiness
Thank you . I begin to like English even when I was a child .,Where did you learn it ?,conversation,neutral
"At school , in China.This is my first time to be out of my own country .",It's amazing .,conversation,surprise
Do you want black or white coffee ?,"White , please",conversation,neutral
Look ! there's a Folk concert tomorrow evening . Do you Want to go ?,I don't like Folk music very much .,conversation,neutral
What kind of music do you like ?,I like classical music . Do you ?,conversation,neutral
Not very much . Classical music sends me to sleep,I don't believe you .,conversation,neutral
It ’ s true .,You are funny !,conversation,neutral
What do you like to do in your spare time ?,I like playing chess .,conversation,neutral
Do you have any hobbies besides playing chess ?,I'm afraid not .,conversation,neutral
Do you have any hobbies like playing tennis or things like that ?,"Oh , yes . I like playing basketball .",conversation,neutral
Can you tell me why you like it ?,Because I like the feeling of cooperating with others .,conversation,neutral
Where is John ? I can't find him anywhere .,Haven't you heard that he is in prison ?,conversation,neutral
What ? Beg your pardon .,John is in prison now . He was copped outstealing .,conversation,neutral
Can I help you ?,"I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look .",conversation,neutral
I'll certainly try to help you.What topic is your paper on ?,My paper is on the influence of television on children .,conversation,neutral
There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television .,Thank you for you help .,conversation,happiness
"Hey , Ted . What are you up to this Friday ?","Well , I have the day off from work .",conversation,neutral
That ’ s great ! Do you have any plans ?,"Well , I ’ Ve been working so hard lately , so I ’ ll probably just take it easy .",conversation,neutral
Sounds nice .,"Yeah , I ’ ll probably just stay in and relax . Maybe watch a few movies .",conversation,neutral
Can I stop by ?,Sure . Any time .,conversation,neutral
You honestly believe the world ’ s improving every year ?,"Yes , I do . I think that science is making us wiser . What do you think ?",conversation,neutral
I don ’ t think you ’ re right there .,I believe industry is making us wealthier .,conversation,neutral
I don ’ t believe that .,"And in my opinion , medicine is making us healthier .",conversation,neutral
"I agree with you in the sense . But we ’ re all more miserable than ever , aren ’ t we ?","I don ’ t agree with you . I maintain that we ’ re healthier , wealthier and wiser than we were a hundred years ago .",conversation,neutral
What do you plan to do for your birthday ?,"I want to have a picnic with my friends , Mum .",conversation,neutral
How about a party at home ? That way we can get together and celebrate it .,"OK , Mum . I'll invite my friends home .",conversation,happiness
How may I help you ?,I would like to return this book .,conversation,neutral
Is that all you need ?,I also want to check out this video .,conversation,neutral
Is that all you would like to check out ?,That ’ s all I need .,conversation,neutral
Do you have your library card ?,Here it is .,conversation,neutral
Make sure to take proper care of this video .,That won ’ t be a problem .,conversation,neutral
"If you damage the video , you will be fined .",I won ’ t damage it .,conversation,neutral
What's the matter with you then ? You look miserable .,It's us .,conversation,neutral
What do you mean by us .,"Well , you always say you're busy .",conversation,neutral
That's right .,And you often go back to live with your parents and leave our son in the room by himself .,conversation,neutral
"I ... I ... I miss my parents , also they miss me .","Oh I remember , I cut terrible calls , and you didn't say anything about it .",conversation,neutral
You mean I am groaned a few words ?,Totally not . Perhaps it's about our marriage .,conversation,neutral
"Hi , Mary . You look pale today . What's the matter with you ?",I think I've caught a cold . Now I'm aching all over .,conversation,neutral
You'd better take some medicine and have a good rest . I hope you'll be yourself pretty soon .,Thank you . I suppose I should go to see a doctor .,conversation,neutral
"I feel like going for a drink , it's been a long day .","Great idea ! Peter , I could use the drink .",conversation,happiness
How about the new bar across road ?,"Sounds good . The food there is fantastic , too .",conversation,happiness
"I agree , I had lunch there last week .",excellent ! That sounds like a plan .,conversation,happiness
"Could you tell me the right time , please ?",Well . My watch says five past two . But it ’ s no use rely on it because it has been gaining and losing these last a few days .,conversation,neutral
You have to go and fix it .,Yes . I will .,conversation,neutral
does your family have a record of your ancestors ?,sure . My mom has been working on our family tree for years . She ’ s always updating it .,conversation,neutral
do you have a copy of your family tree in your house ? I ’ d love to see it .,"I can show it to you now , if you like . I think it goes back about 8 generations so far .",conversation,neutral
that ’ s amazing . Do you have a large extended family ?,I ’ Ve got 30 cousins on my mom ’ s side and 10 cousins on my dad ’ s side .,conversation,neutral
are you very close to your first-cousins ?,"the ones that are my age are close relatives . Now that I ’ m older , I don ’ t spend as much time with them as I used to , so I don ’ t know my younger cousins as well as the older ones .",conversation,neutral
I see . who ’ s the head of your household ?,"it ’ s definitely my mother . And , her mother is definitely the matriarch of the bigger family .",conversation,neutral
that ’ s interesting . What does your grandfather think of your step-mother ?,"at first , she was quite critical of her , but now that they ’ Ve been married for a few years , she ’ s starting to accept the fact that my father divorced my mother .",conversation,neutral
"Hi , Mr . Wang . Do you feel like going boating with me ?","Sounds interesting , I haven't gone boating for some time now , and what time ?",conversation,happiness
How about tomorrow afternoon ?,Sure . Where shall I meet you ?,conversation,happiness
At the gate of the park .,Great . I look forward to meeting you .,conversation,happiness
See you then .,See you .,conversation,happiness
I hear that you've been to the Saikei Ski Resort for the weekend . Did you enjoy it ?,"Yes , it's so exciting , though I had the most falls in our skiing team .",conversation,happiness
Isn't there any coach to teach you how to ski ?,Of course there is . The top-level coaches there are from the State Sports General Administration .,conversation,neutral
Could you move smoothly ?,Yes.My face even ached in the icy wind .,conversation,neutral
What happened afterwards ?,I was skiing on and on excitedly until I realized one thing-I could not stop ! You can just imagine how terrified I was .,conversation,neutral
You look pale recently .,Yeah . I have got much pressure in the company . I have tobe wrapped upon my work .,conversation,happiness
Take good care of yourself .,Thank you . I will .,conversation,happiness
"Hey , Maggy , Did you hear about David ?","About David ? No , I didn ’ t hear anything .",conversation,neutral
"You know , about David and his new boss .","Sorry , I don ’ t quite follow you .",conversation,neutral
"Well , I heard David has been fired .","Oh , that is a shame . He is really hard working .",conversation,neutral
how do you usually get to school ?,I usually ride my bike . Which form of transport do you prefer to use ?,conversation,neutral
"I feel that I can see more when I pedal a bicycle , but when I feel lazy , I drive my car .",I think we should discourage people from using their private cars . They produce too much pollution !,conversation,neutral
"I agree , but I would find it difficult to stop using my car . It's just so convenient .","cars might be convenient , but they're so bad for the environment .",conversation,neutral
do you have a car ?,"no . I used to have one though . Once I started using my bicycle to get around , I found that I didn't really need it .",conversation,neutral
"maybe if I sold my car now , I wouldn't be so tempted to use it .",you could try . It would save you a lot of money .,conversation,neutral
"that's true . Every month , I spend hundreds of dollars on gas , insurance , and repairs .","if you got to class by riding a bicycle every day instead of driving , you will get lots of exercise , too !",conversation,neutral
I could stand to lose a few pounds . Having a car has made me lazy . I never end up walking anywhere !,let's go to a car dealership . I'll help you try to sell your car for a good price .,conversation,neutral
What's wrong with him ?,His nose is out of joint because we forgot to invite him to the party .,conversation,neutral
"What are you going to do for one year abroad , Tom ?","Study , study , study . I want to learn a lot .",conversation,neutral
You are going to take courses ?,Yes . I am going to take some university courses there .,conversation,neutral
Sounds hard .,"Yes , but I think it's probably for the best .",conversation,neutral
Won ’ t you get lonely ?,"Hey , I am a pretty cool guy . I will make friends , and I'll have a lot of extracurricular activities too . You know , like fencing , or theater or something .",conversation,neutral
"Isn't this lovely weather ? Will you help me water the flowers , Jack ?","Well , do you think I have to ?",conversation,neutral
I do.We haven't watered them for quite a few days .,Please look at the sky.Don ' t you see the dark clouds ? It's going to rain soon .,conversation,neutral
Good.So we don't have to work.How nice !,But I don't think it's so nice .,conversation,neutral
Why ?,The weather report says it's going to rain for a whole week .,conversation,neutral
"On , darn . The grocery store is closed .","Yeah , this one closes at ten . We could drive to the 24 - hour store on sixth .",conversation,neutral
Alright . We are out of everything .,I wish the store close to us was open 24 - house a day .,conversation,neutral
"I know , our schedules are so weird . Sometimes , the little corner store is the only thing within walking distance that ’ s open when we get home .","Yeah , and the prices there are very high .",conversation,neutral
Do you think they two will get married ?,You can count on it .,conversation,neutral
"I think so.Yes , they get along so well .",I like him.He ' s good for her .,conversation,happiness
"Dad , where are we off to ?",First we will go to the city centre and stop for something to drink . Then we will visit the University Museum .,conversation,neutral
Where are we going to have a drink ?,There is a coffee shop round the corner . Can you see that big building at the end of the road ?,conversation,neutral
Yes ?,That is a bank . The coffee shop is opposite the bank .,conversation,neutral
Good . I will have hot chocolate .,A stop ! Wait for the lights to turn green .,conversation,neutral
When crossing the road you must always pay attention to what's around you .,Sorry . How far is the museum ?,conversation,neutral
I am not sure . We will ask for directions in the coffee shop .,Here we are . You find us a table and I'll get the drinks .,conversation,neutral
How about going to the cinema tonight ?,That's great . What's on tonight ?,conversation,happiness
"I am not sure about the name of the film , but I know it's a romantic one .",Romantic ? I am afraid I like thrillers better .,conversation,neutral
Don't you think it's too bloody ?,"On the contrary , very exciting .",conversation,neutral
I feel so uncomfortable .,Are you sick ?,conversation,neutral
No . The teacher is dragging the chalk over the blackboard . It set my teeth on edge .,He ’ ll finish writing in a minute .,conversation,neutral
I have made up my mind . I am getting a tattoo .,Really ? Are you sure ?,conversation,surprise
Yeah ! Why not ? They are trendy and look great ! I want to get a dragon on my arm or maybe a tiger on my back .,"Yeah but , it is something that you will have forever ! They use indelible ink that can only be removed with laser treatment . On top of all that , I have heard it hurts a lot !",conversation,neutral
Really ?,Of course ! They use this machine with a needle that pokes your skin and inserts the ink .,conversation,neutral
"Oh , I didn ’ t know that ! I thought they just paint it on your skin or something .","I think you should reconsider and do some more research about tattoos . Also , find out where the nearest tattoo parlor is and make sure they used sterilized needles , and that the place is hygienic .",conversation,neutral
"Excuse me , what's the screen near your steering wheel for ?",It's a portable TV . It's a popular thing now .,conversation,neutral
"Oh , that's new to me . So what's on everyday ?","News about current affairs , documentaries , music , movies , noncommercial ads and so on .",conversation,neutral
Is there anything interesting ?,"Yes , there are something good and informative . I think that many people underestimate the value of TV in education .",conversation,neutral
I agree . Are there any commercials on the TV ?,Of course . Because the TV stations need to make money from commercials between the programs .,conversation,neutral
That makes a lot of sense . Does the TV work well ?,Not always . It depends on the transmission of the satellite signals .,conversation,neutral
I got it . Do you pay for the programs ?,"Yes , 50 Yuan per month .",conversation,neutral
"Oh , no !",How dreadful !,conversation,disgust
Look at the view from the window .,"Oh , dear . That ’ s terrible . Not at all what I expected .",conversation,disgust
"It ’ s awful , isn ’ t it ?",I can ’ t bear to look at it . I ’ m rather disappointed .,conversation,disgust
"What do you do in your free time , Nancy ?","Well , I like playing the violin .",conversation,neutral
Really ? How long have you been playing the violin ?,About ten years so far . I started learning when I was in middle school .,conversation,neutral
That's really interesting .,Sure . So what about you ? Do you have any hobbies ?,conversation,happiness
"Well , I like collecting matchbox ! I'm not sure if that counts , though .",Of course it does . Everybody has his own hobby .,conversation,happiness
How can I tell her about this ?,"Don't worry , you'll find a way .",conversation,neutral
There is no need to be so frustrated .,How can you live without job in the future ?,conversation,neutral
What sports do you like to play ?,I like baseball and basketball .,conversation,neutral
How about football ?,"In my country football is brand new , so I never learned the game when I was younger .",conversation,neutral
It's a very popular game in America .,Yeah . I heard a lot about it . Is it really that fun ?,conversation,neutral
"For me , it's one of those games that are fun to both watch and play .",Are you a football player ?,conversation,neutral
"No , I just for fun with my friends . We play two hand touch or flag football . We're too old to play tackle football .",What is two hand touch and flag football ?,conversation,neutral
"Instead of tackling somebody , you just have to touch them with two hands , or if it is flag football , grab the flag that the ball carrier is wearing .",I see . It's safer then right ?,conversation,neutral
"Exactly . We play every Saturdays on the field by the tennis courts . If you want to learn and play a little , you're welcome to join us .",I'll give it a try . Give me a call and let's go down together .,conversation,happiness
Ok . I'll call you Saturday morning .,Great .,conversation,happiness
What upsets you ?,"My parents called . As usual , they reminded me again that I should have a plan to marry by my late 20s . Easier said then done . Who should I marry ? I have no time to go on a date .",conversation,sadness
It is not your mother finding one for you ?,"I will find one myself , of course . I ’ m a modern girl .",conversation,neutral
"Perhaps you can try the three minutes date , the latest type .","You mean dozens of the opposite sex meet each other for three minutes in a dimly bar serving alcohol , I hate that idea .",conversation,disgust
"No , there is an updated virgin , three minutes video date . I know an online dating website providing such service with a microphone and webcam , you can sigh for it . You can be face-to-face with a guy talking for maximum three minutes .",I don ’ t think it makes sense . Three minutes is such a short time .,conversation,neutral
"I think you can find out if there is a possibility of romance within the first second of meeting someone , so-called love at first sight .","Anyway , I don ’ t want to post my face up for sale on the internet like that .",conversation,disgust
"Don ’ t worry . There are many other options using the internet as dating methods . Some sites operate at international standard even have got certifications . Of course , for these sites , you have to pay a membership fee . But all in all , it is more serious and professional . The chance of meeting a good and serious person who does not play games is higher .",I don ’ t want to post my personal information on the internet . I ’ m not knowing who is reading it .,conversation,disgust
Are you going to the party on Saturday ?,I was thinking about it . Are you ?,conversation,neutral
"Yeah , I heard it's going to be a lot of fun .","Really ? Well , what time does it start ?",conversation,surprise
It starts at 8,"Well , who all is going to be there ?",conversation,neutral
Everyone from school .,How do you know it's going to be so fun ?,conversation,neutral
"This party is going to have a DJ , food , and drinks .","Wow , that does sound like it's going to be fun .",conversation,happiness
So am I going to see you at the party ?,"Yeah , I will be there .",conversation,happiness
Could you talk to me for a few minutes about my grades ?,Step into my office for a moment . What is your concern ?,conversation,neutral
Am I failing ?,Let's go on the computer to see what's up . Do you think you are doing well ?,conversation,neutral
I am pretty sure that I am in trouble .,"I can see that you are trying , but where do you think you could improve ?",conversation,neutral
I missed a few classes ; I need to make sure I come to school on a regular basis .,"Having a regular study routine and following it is very important , right ?",conversation,neutral
I'll try ; it's hard !,Thanks for stopping by !,conversation,neutral
Good luck on your test tomorrow . We'll be crossing our fingers for you !,Thanks .,conversation,happiness
I'll never ever work together with him !,What happened ? Quarrel again ?,conversation,neutral
Will you take my materials back from him for me ? Please !,Don't ask me . I don't wanna be involved in your quarrel .,conversation,neutral
"Oh , my God ! I've been cheated !",What ? What did you buy ?,conversation,surprise
It's a brick ! I can't believe how stupid I was . Damn it !,What is it ? Why did you buy a brick ?,conversation,neutral
"There was a guy on the sidewalk.He had three new boxes , Panasonic video camera boxes.He said he had to get rid of them quick .",And ?,conversation,neutral
So he said he'd sell me one for twenty dollars . A four-hundred-dollar camera for twenty bucks .,And it's a brick ?,conversation,neutral
Yes .,I can't believe how stupid you are . Why didn't you open the box ?,conversation,surprise
"I wanted to . But he said , no , the box is still in its plastic wrap from the store.If it's opened , other people won't believe it's new .",So he had the boxes wrapped in plastic .,conversation,neutral
"Yes , it was the kind of perfect plastic wrap that comes with new products.Look , it even had a bar-code price sticker on it ! It looked brand new .",But why would a guy be selling new video cameras for twenty dollars ?,conversation,neutral
He said he had to get rid of them . They were stolen .,"Aha ! Now I understand.You were trying to buy stolen goods on the sidewalk.So , what I think is , you deserve to get cheated !",conversation,neutral
"C'mon , don't blame me ! I thought it was a new camera . We could use it.We were even thinking about buying a camera . I don't understand how he could have such a perfect-looking box .",That's no problem.He just has a friend who works in a shop that can do plastic wrap . That's easy.And probably it's the same shop he got the boxes from.Maybe his friend works in an electronics store . They sell video cameras there.Probably they had a couple video camera boxes lying around.So they get the idea of wrapping bricks to sell to fools like you.Twenty dollars a brick . That's a good profit if they can sell enough bricks .,conversation,neutral
Is the clock right ?,I'm afraid it gains a little .,conversation,neutral
By how many minutes ?,Two .,conversation,neutral
"Hey , Mary , what's up ?","Just so so . Last night I met this great guy at the bar and we had such a wonderful time , so we decided to meet again tonight .",conversation,neutral
"Oh , that's exciting . What does this guy look like ? Is he hot ?","Well , I didn't think so at first . But as we started talking , I found him extremely funny and witty . I couldn't stop laughing at his jokes ! And we have so much in common . We like the same team , music , and most amazingly , we both love Chinese food ! I have the feeling that we are going to be great friends .",conversation,neutral
It seems you two are a good match . What qualities do you look for in a friend ?,"There's nothing definite I think . I don't have a list or anything , but when I first meet somebody , I can usually tell whether or not that person is going to be a good friend . It seems I have radar helping me spot new friends .",conversation,neutral
"Well , that's something I've never heard of . But if you ask me what I value most in a friend , I would say honesty .",I agree . You can't expect a close relationship with a dishonest person . Those are the people that will turn their back on you when you are in need .,conversation,neutral
What ’ s up ? You don ’ t look too good .,"Yeah , my head hurts , that ’ s all . I ’ Ve been in physics class all day . It ’ s killer !",conversation,disgust
"I liked physics . It ’ s all math , really . arcs , curves , velocity , cool stuff .","Yeah , yeah , but today ’ s lesson was all about the creation of the universe .",conversation,neutral
A physics class about the creation of the universe ? That ’ s some pretty unscientific language there . Sounds more religious to me .,It ’ s all religion . Take the theory of the Big Bang.How is it possible that all of the stuff in the universe comes from an explosion ? That ’ s no better than Atlas carrying the globe on his back or African myths about turtles and stuff .,conversation,neutral
"Turtles ? Whatever ... Look , all that ’ s required for the creation of matter an imbalance of particles and anti-particles . At least , that ’ s what the math says .","Math , sheath . What ’ s the evidence ?",conversation,neutral
"There is evidence ! You know Edwin Hubble ? He ’ s the guy who in the early twentieth century was the first scientist to measure the drift of matter in the universe , thus advancing notions of an expanding universe . What would it be expanding from ? Well , the Big Bang ... DUH !","Anyway , it ’ s just a theory . Why do people go around touting theories ? Where ’ s the scientific rigor in that ?",conversation,neutral
Today more and more people advocate lifelong learning . But people have different views about lifelong learning . How do you understand lifelong learning ?,I think lifelong learning is the concept that it's never too soon or too late for learning,conversation,neutral
Does that mean studying all the time ?,"I don't think so . I think it's about your attitude towards learning . One should be open to new ideas , decisions , skills or behaviors .",conversation,neutral
Then the axiom - ' You can't teach an old dog new tricks ' doesn't work any longer .,You're right . Lifelong learning is about finding learning opportunities at all ages and in numerous contexts,conversation,neutral
"Yes , I agree with you . When I retired I will participate in programs to keep momentally active .","Me too . To keep up with the changing world , one must be involved in lifelong learning and be ready to accept new things .",conversation,neutral
You know what ? I've recently been teaching myself French .,Really ? That's great ! I know that your company has a lot of clients in France .,conversation,surprise
How old are you ?,Nine ... but I'll be ten on May 1st.When is your birthday ?,conversation,neutral
I'm older than you ! I'll be ten on April 14th .,Are you going to have a birthday party ?,conversation,neutral
It smells like an ashtray in here !,Hi honey ! What ’ s wrong ? Why do you have that look on your face ?,conversation,neutral
What ’ s wrong ? I thought we agreed that you were gonna quit smoking .,No ! I said I was going to cut down which is very different . You can ’ t just expect me to go cold turkey overnight !,conversation,neutral
"Look , there are other ways to quit . You can try the nicotine patch , or nicotine chewing gum . We spend a fortune on cigarettes every month and now laws are cracking down and not allowing smoking in any public place . It ’ s not like you can just light up like before .","I know , I know . I am trying but , I don ’ t have the willpower to just quit . I can ’ t fight with the urge to reach for my pack of smokes in the morning with coffee or after lunch ! Please understand ?",conversation,neutral
Why are you shivering ?,It's freezing .,conversation,neutral
It seems that you get antsy when you hear I praise another guy .,"I get antsy not because you praise a guy , but because you may be taken for a ride by a guy like him .",conversation,disgust
How come you think of him that way ?,Because you seem to have lost your vigilance . You should be on the watch out .,conversation,disgust
I have no reason to distrust him . He's never caused any harm .,Isn't there anything that sounds fishy ?,conversation,anger
Nothing smells a rat . I told you that he's an all-right guy .,All-right guy ? All right . Let's talk about something else instead .,conversation,surprise
